source_symbol,source_organism,ensg,ortholog_ensg,target_symbol,target_organism,description
Polr2c,human,ENSG00000102978,ENSMUSG00000031783,Polr2c,mouse,polymerase (RNA) II (DNA directed) polypeptide C [Source:MGI Symbol;Acc:MGI:109299]
LIMA1,human,ENSG00000050405,ENSMUSG00000023022,Lima1,mouse,LIM domain and actin binding 1 [Source:MGI Symbol;Acc:MGI:1920992]
PTGES,human,ENSG00000148344,ENSMUSG00000050737,Ptges,mouse,prostaglandin E synthase [Source:MGI Symbol;Acc:MGI:1927593]
SRPK1,human,ENSG00000096063,ENSMUSG00000004865,Srpk1,mouse,serine/arginine-rich protein specific kinase 1 [Source:MGI Symbol;Acc:MGI:106908]
EP300,human,ENSG00000100393,ENSMUSG00000055024,Ep300,mouse,E1A binding protein p300 [Source:MGI Symbol;Acc:MGI:1276116]
AKT1S1,human,ENSG00000204673,ENSMUSG00000011096,Akt1s1,mouse,AKT1 substrate 1 (proline-rich) [Source:MGI Symbol;Acc:MGI:1914855]
SDF4,human,ENSG00000078808,ENSMUSG00000029076,Sdf4,mouse,stromal cell derived factor 4 [Source:MGI Symbol;Acc:MGI:108079]
COL5A2,human,ENSG00000204262,ENSMUSG00000026042,Col5a2,mouse,"collagen, type V, alpha 2 [Source:MGI Symbol;Acc:MGI:88458]"
PEBP1,human,ENSG00000089220,ENSMUSG00000047104,Pbp2,mouse,phosphatidylethanolamine binding protein 2 [Source:MGI Symbol;Acc:MGI:1923650]
SLC2A3,human,ENSG00000059804,,,mouse,
REEP3,human,ENSG00000165476,ENSMUSG00000019873,Reep3,mouse,receptor accessory protein 3 [Source:MGI Symbol;Acc:MGI:88930]
Vps25,human,ENSG00000131475,ENSMUSG00000078656,Vps25,mouse,vacuolar protein sorting 25 [Source:MGI Symbol;Acc:MGI:106354]
LMCD1,human,ENSG00000071282,ENSMUSG00000057604,Lmcd1,mouse,LIM and cysteine-rich domains 1 [Source:MGI Symbol;Acc:MGI:1353635]
Eif3d,human,ENSG00000100353,ENSMUSG00000016554,Eif3d,mouse,"eukaryotic translation initiation factor 3, subunit D [Source:MGI Symbol;Acc:MGI:1933181]"
Ap3m2,human,ENSG00000070718,ENSMUSG00000031539,Ap3m2,mouse,"adaptor-related protein complex 3, mu 2 subunit [Source:MGI Symbol;Acc:MGI:1929214]"
RGD1562948,human,,,,mouse,
SPATA5,human,ENSG00000145375,ENSMUSG00000027722,Spata5,mouse,spermatogenesis associated 5 [Source:MGI Symbol;Acc:MGI:1927170]
CDC73,human,ENSG00000134371,ENSMUSG00000026361,Cdc73,mouse,"cell division cycle 73, Paf1/RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:2384876]"
ZFP91-CNTF,human,ENSG00000255073,ENSMUSG00000024695,Zfp91,mouse,zinc finger protein 91 [Source:MGI Symbol;Acc:MGI:104854]
ZFP91-CNTF,human,ENSG00000255073,ENSMUSG00000118491,Gm44505,mouse,"predicted readthrough transcript (NMD candidate), 44505 [Source:MGI Symbol;Acc:MGI:3845910]"
ISCU,human,ENSG00000136003,,,mouse,
LAMTOR1,human,ENSG00000149357,ENSMUSG00000030842,Lamtor1,mouse,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:MGI Symbol;Acc:MGI:1913758]"
Sep 09,human,,,,mouse,
TTC28,human,ENSG00000100154,ENSMUSG00000033209,Ttc28,mouse,tetratricopeptide repeat domain 28 [Source:MGI Symbol;Acc:MGI:2140873]
C5orf24,human,ENSG00000181904,ENSMUSG00000045767,B230219D22Rik,mouse,RIKEN cDNA B230219D22 gene [Source:MGI Symbol;Acc:MGI:1925771]
FRMD6,human,ENSG00000139926,ENSMUSG00000048285,Frmd6,mouse,FERM domain containing 6 [Source:MGI Symbol;Acc:MGI:2442579]
RMDN3,human,ENSG00000137824,ENSMUSG00000070730,Rmdn3,mouse,regulator of microtubule dynamics 3 [Source:MGI Symbol;Acc:MGI:1915059]
Nup43,human,ENSG00000120253,ENSMUSG00000040034,Nup43,mouse,nucleoporin 43 [Source:MGI Symbol;Acc:MGI:1917162]
LGMN,human,ENSG00000100600,ENSMUSG00000021190,Lgmn,mouse,legumain [Source:MGI Symbol;Acc:MGI:1330838]
Cxcl12,human,ENSG00000107562,ENSMUSG00000061353,Cxcl12,mouse,chemokine (C-X-C motif) ligand 12 [Source:MGI Symbol;Acc:MGI:103556]
WDR6,human,ENSG00000178252,ENSMUSG00000066357,Wdr6,mouse,WD repeat domain 6 [Source:MGI Symbol;Acc:MGI:1930140]
TPCN1,human,ENSG00000186815,ENSMUSG00000032741,Tpcn1,mouse,two pore channel 1 [Source:MGI Symbol;Acc:MGI:2182472]
EIF2B1,human,ENSG00000111361,ENSMUSG00000029388,Eif2b1,mouse,"eukaryotic translation initiation factor 2B, subunit 1 (alpha) [Source:MGI Symbol;Acc:MGI:2384802]"
GXYLT1,human,ENSG00000151233,ENSMUSG00000036197,Gxylt1,mouse,glucoside xylosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2684933]
MYADM,human,ENSG00000179820,ENSMUSG00000068566,Myadm,mouse,myeloid-associated differentiation marker [Source:MGI Symbol;Acc:MGI:1355332]
Gns,human,ENSG00000135677,ENSMUSG00000034707,Gns,mouse,glucosamine (N-acetyl)-6-sulfatase [Source:MGI Symbol;Acc:MGI:1922862]
Ppp4c,human,ENSG00000149923,ENSMUSG00000030697,Ppp4c,mouse,"protein phosphatase 4, catalytic subunit [Source:MGI Symbol;Acc:MGI:1891763]"
U2af2,human,ENSG00000063244,ENSMUSG00000030435,U2af2,mouse,U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 2 [Source:MGI Symbol;Acc:MGI:98886]
Ifi47,human,,,,mouse,
CYSTM1,human,ENSG00000120306,ENSMUSG00000046727,Cystm1,mouse,cysteine-rich transmembrane module containing 1 [Source:MGI Symbol;Acc:MGI:1913310]
TM9SF1,human,ENSG00000100926,ENSMUSG00000002320,Tm9sf1,mouse,transmembrane 9 superfamily member 1 [Source:MGI Symbol;Acc:MGI:1921390]
TM9SF1,human,ENSG00000100926,ENSMUSG00000115232,Gm49378,mouse,"predicted gene, 49378 [Source:MGI Symbol;Acc:MGI:6121598]"
CAPNS1,human,ENSG00000126247,ENSMUSG00000001794,Capns1,mouse,"calpain, small subunit 1 [Source:MGI Symbol;Acc:MGI:88266]"
Cul1,human,ENSG00000055130,ENSMUSG00000029686,Cul1,mouse,cullin 1 [Source:MGI Symbol;Acc:MGI:1349658]
Ago3,human,ENSG00000126070,ENSMUSG00000028842,Ago3,mouse,argonaute RISC catalytic subunit 3 [Source:MGI Symbol;Acc:MGI:2446634]
ERCC3,human,ENSG00000163161,ENSMUSG00000024382,Ercc3,mouse,"excision repair cross-complementing rodent repair deficiency, complementation group 3 [Source:MGI Symbol;Acc:MGI:95414]"
RAB12,human,ENSG00000206418,ENSMUSG00000023460,Rab12,mouse,"RAB12, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:894284]"
ADAR,human,ENSG00000160710,ENSMUSG00000027951,Adar,mouse,"adenosine deaminase, RNA-specific [Source:MGI Symbol;Acc:MGI:1889575]"
KDELC2,human,ENSG00000178202,ENSMUSG00000034487,Poglut3,mouse,protein O-glucosyltransferase 3 [Source:MGI Symbol;Acc:MGI:1923765]
HTRA1,human,ENSG00000166033,ENSMUSG00000006205,Htra1,mouse,HtrA serine peptidase 1 [Source:MGI Symbol;Acc:MGI:1929076]
ERGIC2,human,ENSG00000087502,ENSMUSG00000030304,Ergic2,mouse,ERGIC and golgi 2 [Source:MGI Symbol;Acc:MGI:1914706]
COX7A2,human,ENSG00000112695,ENSMUSG00000032330,Cox7a2,mouse,cytochrome c oxidase subunit 7A2 [Source:MGI Symbol;Acc:MGI:1316715]
IDH1,human,ENSG00000138413,ENSMUSG00000025950,Idh1,mouse,"isocitrate dehydrogenase 1 (NADP+), soluble [Source:MGI Symbol;Acc:MGI:96413]"
ACVR1,human,ENSG00000115170,ENSMUSG00000026836,Acvr1,mouse,"activin A receptor, type 1 [Source:MGI Symbol;Acc:MGI:87911]"
Tbl1xr1,human,ENSG00000177565,ENSMUSG00000027630,Tbl1xr1,mouse,transducin (beta)-like 1X-linked receptor 1 [Source:MGI Symbol;Acc:MGI:2441730]
Abi2,human,ENSG00000138443,ENSMUSG00000026782,Abi2,mouse,abl interactor 2 [Source:MGI Symbol;Acc:MGI:106913]
PSMB6,human,ENSG00000142507,ENSMUSG00000018286,Psmb6,mouse,"proteasome (prosome, macropain) subunit, beta type 6 [Source:MGI Symbol;Acc:MGI:104880]"
FUBP3,human,ENSG00000107164,ENSMUSG00000026843,Fubp3,mouse,far upstream element (FUSE) binding protein 3 [Source:MGI Symbol;Acc:MGI:2443699]
Rad23a,human,ENSG00000179262,ENSMUSG00000003813,Rad23a,mouse,"RAD23 homolog A, nucleotide excision repair protein [Source:MGI Symbol;Acc:MGI:105126]"
SHOC2,human,ENSG00000108061,ENSMUSG00000024976,Shoc2,mouse,"Shoc2, leucine rich repeat scaffold protein [Source:MGI Symbol;Acc:MGI:1927197]"
KCNMA1,human,ENSG00000156113,ENSMUSG00000063142,Kcnma1,mouse,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1 [Source:MGI Symbol;Acc:MGI:99923]"
FBLN1,human,ENSG00000077942,ENSMUSG00000006369,Fbln1,mouse,fibulin 1 [Source:MGI Symbol;Acc:MGI:95487]
Mapkap1,human,ENSG00000119487,ENSMUSG00000038696,Mapkap1,mouse,mitogen-activated protein kinase associated protein 1 [Source:MGI Symbol;Acc:MGI:2444554]
PCCB,human,ENSG00000114054,ENSMUSG00000032527,Pccb,mouse,"propionyl Coenzyme A carboxylase, beta polypeptide [Source:MGI Symbol;Acc:MGI:1914154]"
POLR2E,human,ENSG00000099817,ENSMUSG00000004667,Polr2e,mouse,polymerase (RNA) II (DNA directed) polypeptide E [Source:MGI Symbol;Acc:MGI:1913670]
CLNS1A,human,ENSG00000074201,ENSMUSG00000025439,Clns1a,mouse,"chloride channel, nucleotide-sensitive, 1A [Source:MGI Symbol;Acc:MGI:109638]"
PRKCD,human,ENSG00000163932,ENSMUSG00000021948,Prkcd,mouse,"protein kinase C, delta [Source:MGI Symbol;Acc:MGI:97598]"
Gnb4,human,ENSG00000114450,ENSMUSG00000027669,Gnb4,mouse,"guanine nucleotide binding protein (G protein), beta 4 [Source:MGI Symbol;Acc:MGI:104581]"
MTX1,human,ENSG00000173171,ENSMUSG00000064068,Mtx1,mouse,metaxin 1 [Source:MGI Symbol;Acc:MGI:103025]
RPL8,human,ENSG00000161016,ENSMUSG00000003970,Rpl8,mouse,ribosomal protein L8 [Source:MGI Symbol;Acc:MGI:1350927]
DPYD,human,ENSG00000188641,ENSMUSG00000033308,Dpyd,mouse,dihydropyrimidine dehydrogenase [Source:MGI Symbol;Acc:MGI:2139667]
MPDZ,human,ENSG00000107186,ENSMUSG00000028402,Mpdz,mouse,multiple PDZ domain crumbs cell polarity complex component [Source:MGI Symbol;Acc:MGI:1343489]
PLOD1,human,ENSG00000083444,ENSMUSG00000019055,Plod1,mouse,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 [Source:MGI Symbol;Acc:MGI:99907]"
Acat2,human,ENSG00000120437,ENSMUSG00000023832,Acat2,mouse,acetyl-Coenzyme A acetyltransferase 2 [Source:MGI Symbol;Acc:MGI:87871]
Acat2,human,ENSG00000120437,ENSMUSG00000062480,Acat3,mouse,acetyl-Coenzyme A acetyltransferase 3 [Source:MGI Symbol;Acc:MGI:109182]
RABEPK,human,ENSG00000136933,ENSMUSG00000070953,Rabepk,mouse,Rab9 effector protein with kelch motifs [Source:MGI Symbol;Acc:MGI:2139530]
P3h3,human,ENSG00000110811,ENSMUSG00000023191,P3h3,mouse,prolyl 3-hydroxylase 3 [Source:MGI Symbol;Acc:MGI:1315208]
ATP5J2-PTCD1,human,,,,mouse,
UHRF1BP1L,human,ENSG00000111647,ENSMUSG00000019951,Uhrf1bp1l,mouse,UHRF1 (ICBP90) binding protein 1-like [Source:MGI Symbol;Acc:MGI:2442888]
RNMT,human,ENSG00000101654,ENSMUSG00000009535,Rnmt,mouse,RNA (guanine-7-) methyltransferase [Source:MGI Symbol;Acc:MGI:1915147]
Ahcy,human,ENSG00000101444,ENSMUSG00000027597,Ahcy,mouse,S-adenosylhomocysteine hydrolase [Source:MGI Symbol;Acc:MGI:87968]
Ahcy,human,ENSG00000101444,ENSMUSG00000048087,Ahcyl,mouse,adenosylhomocysteinase like [Source:MGI Symbol;Acc:MGI:3643647]
PSMB3,human,ENSG00000277791,ENSMUSG00000069744,Psmb3,mouse,"proteasome (prosome, macropain) subunit, beta type 3 [Source:MGI Symbol;Acc:MGI:1347014]"
BDH2,human,ENSG00000164039,ENSMUSG00000028167,Bdh2,mouse,"3-hydroxybutyrate dehydrogenase, type 2 [Source:MGI Symbol;Acc:MGI:1917022]"
Lin7a,human,ENSG00000111052,ENSMUSG00000019906,Lin7a,mouse,"lin-7 homolog A, crumbs cell polarity complex component [Source:MGI Symbol;Acc:MGI:2135609]"
TRIM32,human,ENSG00000119401,ENSMUSG00000051675,Trim32,mouse,tripartite motif-containing 32 [Source:MGI Symbol;Acc:MGI:1917057]
GFPT2,human,ENSG00000131459,ENSMUSG00000020363,Gfpt2,mouse,glutamine fructose-6-phosphate transaminase 2 [Source:MGI Symbol;Acc:MGI:1338883]
QKI,human,ENSG00000112531,ENSMUSG00000062078,Qk,mouse,"quaking, KH domain containing RNA binding [Source:MGI Symbol;Acc:MGI:97837]"
TVP23C-CDRT4,human,ENSG00000175106,,,mouse,
TVP23C-CDRT4,human,ENSG00000259024,,,mouse,
EIF3C,human,ENSG00000184110,ENSMUSG00000030738,Eif3c,mouse,"eukaryotic translation initiation factor 3, subunit C [Source:MGI Symbol;Acc:MGI:1926966]"
MYL12B,human,ENSG00000118680,ENSMUSG00000034868,Myl12b,mouse,"myosin, light chain 12B, regulatory [Source:MGI Symbol;Acc:MGI:107494]"
NXN,human,ENSG00000167693,ENSMUSG00000020844,Nxn,mouse,nucleoredoxin [Source:MGI Symbol;Acc:MGI:109331]
TBC1D24,human,ENSG00000162065,ENSMUSG00000036473,Tbc1d24,mouse,"TBC1 domain family, member 24 [Source:MGI Symbol;Acc:MGI:2443456]"
Cpsf7,human,ENSG00000149532,ENSMUSG00000034820,Cpsf7,mouse,cleavage and polyadenylation specific factor 7 [Source:MGI Symbol;Acc:MGI:1917826]
Hnrnpk,human,ENSG00000165119,ENSMUSG00000021546,Hnrnpk,mouse,heterogeneous nuclear ribonucleoprotein K [Source:MGI Symbol;Acc:MGI:99894]
PI4K2A,human,ENSG00000155252,ENSMUSG00000025178,Pi4k2a,mouse,phosphatidylinositol 4-kinase type 2 alpha [Source:MGI Symbol;Acc:MGI:1934031]
RNF31,human,ENSG00000092098,ENSMUSG00000047098,Rnf31,mouse,ring finger protein 31 [Source:MGI Symbol;Acc:MGI:1934704]
TP53BP1,human,ENSG00000067369,ENSMUSG00000043909,Trp53bp1,mouse,transformation related protein 53 binding protein 1 [Source:MGI Symbol;Acc:MGI:1351320]
PTRF,human,,,,mouse,
CTH,human,ENSG00000116761,ENSMUSG00000028179,Cth,mouse,cystathionase (cystathionine gamma-lyase) [Source:MGI Symbol;Acc:MGI:1339968]
Trmt10c,human,ENSG00000174173,ENSMUSG00000044763,Trmt10c,mouse,"tRNA methyltransferase 10C, mitochondrial RNase P subunit [Source:MGI Symbol;Acc:MGI:1196261]"
APIP,human,ENSG00000149089,ENSMUSG00000010911,Apip,mouse,APAF1 interacting protein [Source:MGI Symbol;Acc:MGI:1926788]
EIF2S1,human,ENSG00000134001,ENSMUSG00000021116,Eif2s1,mouse,"eukaryotic translation initiation factor 2, subunit 1 alpha [Source:MGI Symbol;Acc:MGI:95299]"
MRPL14,human,ENSG00000180992,ENSMUSG00000023939,Mrpl14,mouse,mitochondrial ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1333864]
Myl6,human,ENSG00000092841,ENSMUSG00000090841,Myl6,mouse,"myosin, light polypeptide 6, alkali, smooth muscle and non-muscle [Source:MGI Symbol;Acc:MGI:109318]"
POSTN,human,ENSG00000133110,ENSMUSG00000027750,Postn,mouse,"periostin, osteoblast specific factor [Source:MGI Symbol;Acc:MGI:1926321]"
PPP1CA,human,ENSG00000172531,ENSMUSG00000040385,Ppp1ca,mouse,protein phosphatase 1 catalytic subunit alpha [Source:MGI Symbol;Acc:MGI:103016]
DCUN1D5,human,ENSG00000137692,ENSMUSG00000032002,Dcun1d5,mouse,"DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924113]"
EIF3A,human,ENSG00000107581,ENSMUSG00000024991,Eif3a,mouse,"eukaryotic translation initiation factor 3, subunit A [Source:MGI Symbol;Acc:MGI:95301]"
BPHL,human,ENSG00000137274,ENSMUSG00000038286,Bphl,mouse,"biphenyl hydrolase-like (serine hydrolase, breast epithelial mucin-associated antigen) [Source:MGI Symbol;Acc:MGI:1915271]"
COMMD6,human,ENSG00000188243,ENSMUSG00000075486,Commd6,mouse,COMM domain containing 6 [Source:MGI Symbol;Acc:MGI:1913450]
SLK,human,ENSG00000065613,ENSMUSG00000025060,Slk,mouse,STE20-like kinase [Source:MGI Symbol;Acc:MGI:103241]
RALBP1,human,ENSG00000017797,ENSMUSG00000024096,Ralbp1,mouse,ralA binding protein 1 [Source:MGI Symbol;Acc:MGI:108466]
RANBP9,human,ENSG00000010017,ENSMUSG00000038546,Ranbp9,mouse,RAN binding protein 9 [Source:MGI Symbol;Acc:MGI:1928741]
SUCLG2,human,ENSG00000172340,ENSMUSG00000061838,Suclg2,mouse,"succinate-Coenzyme A ligase, GDP-forming, beta subunit [Source:MGI Symbol;Acc:MGI:1306824]"
G3bp1,human,ENSG00000145907,ENSMUSG00000018583,G3bp1,mouse,GTPase activating protein (SH3 domain) binding protein 1 [Source:MGI Symbol;Acc:MGI:1351465]
RABGEF1,human,ENSG00000154710,ENSMUSG00000025340,Rabgef1,mouse,RAB guanine nucleotide exchange factor (GEF) 1 [Source:MGI Symbol;Acc:MGI:1929459]
Strbp,human,ENSG00000165209,ENSMUSG00000026915,Strbp,mouse,spermatid perinuclear RNA binding protein [Source:MGI Symbol;Acc:MGI:104626]
CRELD2,human,ENSG00000184164,ENSMUSG00000023272,Creld2,mouse,cysteine-rich with EGF-like domains 2 [Source:MGI Symbol;Acc:MGI:1923987]
Gpr89b,human,ENSG00000117262,ENSMUSG00000028096,Gpr89,mouse,G protein-coupled receptor 89 [Source:MGI Symbol;Acc:MGI:1914799]
Gpr89b,human,ENSG00000188092,ENSMUSG00000028096,Gpr89,mouse,G protein-coupled receptor 89 [Source:MGI Symbol;Acc:MGI:1914799]
PGD,human,ENSG00000142657,ENSMUSG00000028961,Pgd,mouse,phosphogluconate dehydrogenase [Source:MGI Symbol;Acc:MGI:97553]
MX2,human,ENSG00000183486,,,mouse,
ADI1,human,ENSG00000182551,ENSMUSG00000020629,Adi1,mouse,acireductone dioxygenase 1 [Source:MGI Symbol;Acc:MGI:2144929]
NNT,human,ENSG00000112992,ENSMUSG00000025453,Nnt,mouse,nicotinamide nucleotide transhydrogenase [Source:MGI Symbol;Acc:MGI:109279]
NNT,human,ENSG00000112992,ENSMUSG00000116207,Nnt,mouse,nicotinamide nucleotide transhydrogenase [Source:MGI Symbol;Acc:MGI:109279]
FAM134A,human,,,,mouse,
PFKL,human,ENSG00000141959,ENSMUSG00000020277,Pfkl,mouse,"phosphofructokinase, liver, B-type [Source:MGI Symbol;Acc:MGI:97547]"
DNAJB11,human,ENSG00000090520,ENSMUSG00000004460,Dnajb11,mouse,DnaJ heat shock protein family (Hsp40) member B11 [Source:MGI Symbol;Acc:MGI:1915088]
ARHGAP18,human,ENSG00000146376,ENSMUSG00000039031,Arhgap18,mouse,Rho GTPase activating protein 18 [Source:MGI Symbol;Acc:MGI:1921160]
ACADVL,human,ENSG00000072778,ENSMUSG00000018574,Acadvl,mouse,"acyl-Coenzyme A dehydrogenase, very long chain [Source:MGI Symbol;Acc:MGI:895149]"
CD3EAP,human,,,,mouse,
VAPB,human,ENSG00000124164,ENSMUSG00000054455,Vapb,mouse,"vesicle-associated membrane protein, associated protein B and C [Source:MGI Symbol;Acc:MGI:1928744]"
GNB4,human,ENSG00000114450,ENSMUSG00000027669,Gnb4,mouse,"guanine nucleotide binding protein (G protein), beta 4 [Source:MGI Symbol;Acc:MGI:104581]"
CHM,human,ENSG00000188419,ENSMUSG00000025531,Chm,mouse,choroidermia (RAB escort protein 1) [Source:MGI Symbol;Acc:MGI:892979]
CLCC1,human,ENSG00000121940,ENSMUSG00000027884,Clcc1,mouse,chloride channel CLIC-like 1 [Source:MGI Symbol;Acc:MGI:2385186]
PMVK,human,ENSG00000163344,ENSMUSG00000027952,Pmvk,mouse,phosphomevalonate kinase [Source:MGI Symbol;Acc:MGI:1915853]
XXYLT1,human,ENSG00000173950,ENSMUSG00000047434,Xxylt1,mouse,xyloside xylosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2146443]
Gipc1,human,ENSG00000123159,ENSMUSG00000019433,Gipc1,mouse,"GIPC PDZ domain containing family, member 1 [Source:MGI Symbol;Acc:MGI:1926252]"
DPM3,human,ENSG00000179085,ENSMUSG00000042737,Dpm3,mouse,dolichyl-phosphate mannosyltransferase polypeptide 3 [Source:MGI Symbol;Acc:MGI:1915813]
KPNA2,human,ENSG00000182481,ENSMUSG00000018362,Kpna2,mouse,karyopherin (importin) alpha 2 [Source:MGI Symbol;Acc:MGI:103561]
KPNA2,human,ENSG00000182481,ENSMUSG00000066878,Gm10184,mouse,predicted pseudogene 10184 [Source:MGI Symbol;Acc:MGI:3704480]
KRI1,human,ENSG00000129347,ENSMUSG00000035047,Kri1,mouse,KRI1 homolog [Source:MGI Symbol;Acc:MGI:2384899]
TRIO,human,ENSG00000038382,ENSMUSG00000022263,Trio,mouse,triple functional domain (PTPRF interacting) [Source:MGI Symbol;Acc:MGI:1927230]
Nutf2,human,ENSG00000102898,ENSMUSG00000008450,Nutf2,mouse,nuclear transport factor 2 [Source:MGI Symbol;Acc:MGI:1915301]
Nutf2,human,ENSG00000102898,ENSMUSG00000071497,Nutf2-ps1,mouse,"nuclear transport factor 2, pseudogene 1 [Source:MGI Symbol;Acc:MGI:108008]"
CDH13,human,ENSG00000140945,ENSMUSG00000031841,Cdh13,mouse,cadherin 13 [Source:MGI Symbol;Acc:MGI:99551]
ADH5,human,ENSG00000197894,ENSMUSG00000028138,Adh5,mouse,"alcohol dehydrogenase 5 (class III), chi polypeptide [Source:MGI Symbol;Acc:MGI:87929]"
PC,human,ENSG00000173599,ENSMUSG00000024892,Pcx,mouse,pyruvate carboxylase [Source:MGI Symbol;Acc:MGI:97520]
RPL28,human,ENSG00000108107,ENSMUSG00000030432,Rpl28,mouse,ribosomal protein L28 [Source:MGI Symbol;Acc:MGI:101839]
ZAP70,human,ENSG00000115085,ENSMUSG00000026117,Zap70,mouse,zeta-chain (TCR) associated protein kinase [Source:MGI Symbol;Acc:MGI:99613]
Pxn,human,ENSG00000089159,ENSMUSG00000029528,Pxn,mouse,paxillin [Source:MGI Symbol;Acc:MGI:108295]
GMFB,human,ENSG00000197045,ENSMUSG00000062014,Gmfb,mouse,"glia maturation factor, beta [Source:MGI Symbol;Acc:MGI:1927133]"
RGD1562165,human,,,,mouse,
SLC16A1,human,ENSG00000155380,ENSMUSG00000032902,Slc16a1,mouse,"solute carrier family 16 (monocarboxylic acid transporters), member 1 [Source:MGI Symbol;Acc:MGI:106013]"
STX17,human,ENSG00000136874,ENSMUSG00000061455,Stx17,mouse,syntaxin 17 [Source:MGI Symbol;Acc:MGI:1914977]
TUBA8,human,ENSG00000183785,ENSMUSG00000030137,Tuba8,mouse,"tubulin, alpha 8 [Source:MGI Symbol;Acc:MGI:1858225]"
Ewsr1,human,ENSG00000182944,ENSMUSG00000009079,Ewsr1,mouse,Ewing sarcoma breakpoint region 1 [Source:MGI Symbol;Acc:MGI:99960]
Baiap2,human,ENSG00000175866,ENSMUSG00000025372,Baiap2,mouse,brain-specific angiogenesis inhibitor 1-associated protein 2 [Source:MGI Symbol;Acc:MGI:2137336]
P4HA2,human,ENSG00000072682,ENSMUSG00000018906,P4ha2,mouse,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide [Source:MGI Symbol;Acc:MGI:894286]"
SORBS3,human,ENSG00000120896,ENSMUSG00000022091,Sorbs3,mouse,sorbin and SH3 domain containing 3 [Source:MGI Symbol;Acc:MGI:700013]
POLR1C,human,ENSG00000171453,ENSMUSG00000067148,Polr1c,mouse,polymerase (RNA) I polypeptide C [Source:MGI Symbol;Acc:MGI:103288]
B4GALT1,human,ENSG00000086062,ENSMUSG00000028413,B4galt1,mouse,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 [Source:MGI Symbol;Acc:MGI:95705]"
RUVBL2,human,ENSG00000183207,ENSMUSG00000003868,Ruvbl2,mouse,RuvB-like protein 2 [Source:MGI Symbol;Acc:MGI:1342299]
CCDC58,human,,,,mouse,
SUCLG1,human,ENSG00000163541,ENSMUSG00000052738,Suclg1,mouse,"succinate-CoA ligase, GDP-forming, alpha subunit [Source:MGI Symbol;Acc:MGI:1927234]"
LPAR1,human,ENSG00000198121,ENSMUSG00000038668,Lpar1,mouse,lysophosphatidic acid receptor 1 [Source:MGI Symbol;Acc:MGI:108429]
PEX11B,human,ENSG00000131779,ENSMUSG00000028102,Pex11b,mouse,peroxisomal biogenesis factor 11 beta [Source:MGI Symbol;Acc:MGI:1338882]
PPAT,human,ENSG00000128059,ENSMUSG00000029246,Ppat,mouse,phosphoribosyl pyrophosphate amidotransferase [Source:MGI Symbol;Acc:MGI:2387203]
ITGA5,human,ENSG00000161638,ENSMUSG00000000555,Itga5,mouse,integrin alpha 5 (fibronectin receptor alpha) [Source:MGI Symbol;Acc:MGI:96604]
PFDN6,human,ENSG00000204220,ENSMUSG00000024309,Pfdn6,mouse,prefoldin subunit 6 [Source:MGI Symbol;Acc:MGI:95908]
Actn2,human,ENSG00000077522,ENSMUSG00000052374,Actn2,mouse,actinin alpha 2 [Source:MGI Symbol;Acc:MGI:109192]
Rpl23,human,ENSG00000125691,ENSMUSG00000071415,Rpl23,mouse,ribosomal protein L23 [Source:MGI Symbol;Acc:MGI:1929455]
GPR176,human,ENSG00000166073,ENSMUSG00000040133,Gpr176,mouse,G protein-coupled receptor 176 [Source:MGI Symbol;Acc:MGI:2685858]
LIG4,human,ENSG00000174405,ENSMUSG00000049717,Lig4,mouse,"ligase IV, DNA, ATP-dependent [Source:MGI Symbol;Acc:MGI:1335098]"
RBX1,human,ENSG00000100387,ENSMUSG00000022400,Rbx1,mouse,ring-box 1 [Source:MGI Symbol;Acc:MGI:1891829]
NDUFA11,human,ENSG00000174886,ENSMUSG00000002379,Ndufa11,mouse,NADH:ubiquinone oxidoreductase subunit A11 [Source:MGI Symbol;Acc:MGI:1917125]
EFNB1,human,ENSG00000090776,ENSMUSG00000031217,Efnb1,mouse,ephrin B1 [Source:MGI Symbol;Acc:MGI:102708]
Mmp14,human,ENSG00000157227,ENSMUSG00000000957,Mmp14,mouse,matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]
EIF4G1,human,ENSG00000114867,ENSMUSG00000045983,Eif4g1,mouse,"eukaryotic translation initiation factor 4, gamma 1 [Source:MGI Symbol;Acc:MGI:2384784]"
MECP2,human,ENSG00000169057,ENSMUSG00000031393,Mecp2,mouse,methyl CpG binding protein 2 [Source:MGI Symbol;Acc:MGI:99918]
SDPR,human,,,,mouse,
